,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
avatar,8,controlled_md,8,8,0,0,0,0,8,8
avatar,12,controlled_md,12,12,0,0,0,0,72,72
avatar,13,controlled_md,13,13,0,0,0,13,0,13
avatar,51,controlled_md,51,51,0,0,0,51,0,51
avatar,72,controlled_md,72,72,0,0,72,0,0,72
avatar,92,controlled_md,92,92,0,92,0,0,0,92
avatar,98,controlled_md,98,98,0,0,0,98,0,98
avatar,107,controlled_md,107,107,0,107,0,0,0,107
avatar,108,controlled_md,108,108,0,108,0,0,0,108
avatar,109,controlled_md,109,109,0,0,0,109,0,109
avatar,125,controlled_md,125,125,0,0,125,0,0,125
avatar,145,controlled_md,145,145,0,145,0,0,0,145
avatar,154,controlled_md,154,154,0,0,154,0,0,154
avatar,198,controlled_md,198,198,0,0,0,198,0,198
avatar,206,controlled_md,206,206,0,206,206,0,0,412
avatar,214,controlled_md,214,214,0,0,0,0,214,214
avatar,230,controlled_md,230,230,0,0,230,0,0,230
avatar,235,controlled_md,235,235,0,235,0,0,0,235
avatar,281,controlled_md,281,281,0,281,0,0,0,281
avatar,293,controlled_md,293,293,0,0,0,293,0,293
avatar,308,controlled_md,308,308,0,0,308,0,0,308
avatar,344,controlled_md,344,344,0,344,0,0,0,344
avatar,345,controlled_md,345,345,0,0,345,0,0,345
avatar,351,controlled_md,351,351,0,0,0,351,0,351
avatar,392,controlled_md,392,392,0,0,392,0,0,392
avatar,422,controlled_md,422,422,0,0,0,422,0,422
avatar,960,controlled_md,960,960,960,0,0,0,0,960
avatar,1039,controlled_md,1039,1039,1039,0,0,0,0,1039
avatar,1211,controlled_md,1211,1211,1211,0,0,0,0,1211
avatar,1321,controlled_md,1321,1321,1321,0,0,0,0,1321
avatar,1335,controlled_md,1335,1335,1335,0,0,0,0,1335
avatar,1440,controlled_md,1440,1440,1440,0,0,0,0,1440
avatar,1672,controlled_md,1672,1672,1672,0,0,0,0,1672
avatar,1811,controlled_md,1811,1811,1811,0,0,0,0,1811
bithacks,1,controlled_md,1,1,0,1,1,1,1,4
bithacks,2,controlled_md,2,2,0,2,2,0,2,6
bithacks,3,controlled_md,3,3,0,0,15,0,9,24
bithacks,4,controlled_md,4,4,0,4,4,4,8,20
bithacks,5,controlled_md,5,5,0,0,0,5,0,5
bithacks,6,controlled_md,6,6,0,6,0,0,0,6
bithacks,7,controlled_md,7,7,0,14,0,7,0,21
bithacks,9,controlled_md,9,9,0,9,0,9,0,18
bithacks,12,controlled_md,12,12,0,12,0,24,0,36
bithacks,28,controlled_md,28,28,28,0,0,0,0,28
bithacks,31,controlled_md,31,31,31,0,0,0,0,31
bithacks,33,controlled_md,33,33,33,0,0,0,0,33
bithacks,37,controlled_md,37,37,37,0,0,0,0,37
bithacks,39,controlled_md,39,39,39,0,0,0,0,39
bithacks,41,controlled_md,41,41,41,0,0,0,0,41
bithacks,47,controlled_md,47,47,47,0,0,0,0,47
bithacks,52,controlled_md,52,52,52,0,0,0,0,52
codenet,36,controlled_md,36,36,0,0,0,0,216,216
codenet,47,controlled_md,47,47,0,0,0,0,47,47
codenet,51,controlled_md,51,51,0,51,0,0,0,51
codenet,71,controlled_md,71,71,0,0,0,71,0,71
codenet,98,controlled_md,98,98,0,0,0,0,98,98
codenet,100,controlled_md,100,100,0,100,0,0,0,100
codenet,106,controlled_md,106,106,0,0,106,0,0,106
codenet,130,controlled_md,130,130,0,0,0,130,0,130
codenet,159,controlled_md,159,159,0,159,0,0,0,159
codenet,183,controlled_md,183,183,0,0,183,0,0,183
codenet,192,controlled_md,192,192,0,0,192,0,0,192
codenet,204,controlled_md,204,204,0,0,204,0,0,204
codenet,207,controlled_md,207,207,0,207,0,0,0,207
codenet,246,controlled_md,246,246,0,246,0,0,0,246
codenet,269,controlled_md,269,269,0,269,0,0,0,269
codenet,280,controlled_md,280,280,0,280,0,0,0,280
codenet,288,controlled_md,288,288,0,0,0,288,0,288
codenet,300,controlled_md,300,300,0,0,300,0,0,300
codenet,330,controlled_md,330,330,0,330,0,0,0,330
codenet,357,controlled_md,357,357,0,0,0,357,0,357
codenet,399,controlled_md,399,399,0,0,399,0,0,399
codenet,403,controlled_md,403,403,0,0,403,0,0,403
codenet,419,controlled_md,419,419,0,0,419,0,0,419
codenet,482,controlled_md,482,482,0,0,0,482,0,482
codenet,611,controlled_md,611,611,0,0,0,611,0,611
codenet,630,controlled_md,630,630,0,0,0,630,0,630
codenet,712,controlled_md,712,712,0,0,0,712,0,712
codenet,987,controlled_md,987,987,987,0,0,0,0,987
codenet,1005,controlled_md,1005,1005,1005,0,0,0,0,1005
codenet,1313,controlled_md,1313,1313,1313,0,0,0,0,1313
codenet,1393,controlled_md,1393,1393,1393,0,0,0,0,1393
codenet,1498,controlled_md,1498,1498,1498,0,0,0,0,1498
codenet,1713,controlled_md,1713,1713,1713,0,0,0,0,1713
codenet,1883,controlled_md,1883,1883,1883,0,0,0,0,1883
codenet,1918,controlled_md,1918,1918,1918,0,0,0,0,1918
All,,,,,22807,3208,4060,4866,675,35616
