model_name,,Codestral,Codestral,D-Mistral,D-Mistral,D-Mixtral,D-Mixtral,Mistral,Mistral,Mixtral,Mixtral
,,Diff.,Repaired,Diff.,Repaired,Diff.,Repaired,Diff.,Repaired,Diff.,Repaired
dataset,,,,,,,,,,,
All,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
All,compile,-5.171591992373689,8.722592945662536,5.147759771210677,51.21544327931363,-5.052430886558628,33.67492850333651,-3.8608198284080073,65.25262154432792,-7.292659675881792,40.70543374642517
All,incorrect,-1.572926596758818,8.007626310772164,-4.599618684461391,10.486177311725452,-0.023832221163012392,13.131553860819828,0.786463298379409,9.890371782650142,-0.09532888465204957,14.108674928503337
All,runtime,-7.292659675881792,12.94089609151573,-3.956148713060057,12.178265014299333,-0.09532888465204957,20.495710200190658,-0.07149666348903717,13.203050524308866,-2.669208770257388,11.987607244995234
All,success,14.0371782650143,70.32888465204957,3.4080076263107726,26.12011439466158,5.171591992373689,32.697807435653004,3.145853193517636,11.65395614871306,10.05719733079123,33.19828408007626
avatar,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,compile,-7.134831460674157,10.112359550561797,19.60674157303371,70.78651685393258,-3.9887640449438204,38.539325842696634,-4.101123595505618,69.21348314606742,-5.955056179775281,47.19101123595505
avatar,incorrect,-3.258426966292135,10.224719101123595,-11.01123595505618,5.674157303370786,0.5617977528089888,15.730337078651685,1.292134831460674,8.932584269662922,-0.6179775280898876,14.9438202247191
avatar,runtime,-6.348314606741573,13.258426966292136,-9.49438202247191,6.011235955056179,-0.7303370786516854,20.786516853932586,0.16853932584269662,13.651685393258429,-0.8988764044943821,13.539325842696629
avatar,success,16.741573033707866,66.40449438202248,0.8988764044943821,17.528089887640448,4.157303370786517,24.9438202247191,2.640449438202247,8.202247191011235,7.47191011235955,24.325842696629213
bithacks,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bithacks,compile,-7.142857142857142,10.714285714285714,-19.642857142857142,35.714285714285715,-3.571428571428571,44.642857142857146,-5.357142857142857,73.21428571428571,-10.714285714285714,28.57142857142857
bithacks,incorrect,7.142857142857142,17.857142857142858,10.714285714285714,21.428571428571427,-1.7857142857142856,14.285714285714285,-1.7857142857142856,7.142857142857142,-3.571428571428571,23.214285714285715
bithacks,runtime,-8.928571428571429,7.142857142857142,0.0,7.142857142857142,1.7857142857142856,8.928571428571429,0.0,5.357142857142857,-1.7857142857142856,1.7857142857142856
bithacks,success,8.928571428571429,64.28571428571429,8.928571428571429,35.714285714285715,3.571428571428571,32.142857142857146,7.142857142857142,14.285714285714285,16.071428571428573,46.42857142857143
codenet,Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,compile,-3.6440677966101696,7.627118644067797,-5.169491525423728,36.82203389830509,-5.889830508474576,29.745762711864405,-3.6440677966101696,62.07627118644068,-8.220338983050848,36.10169491525424
codenet,incorrect,-0.5084745762711864,6.101694915254238,-0.1271186440677966,13.85593220338983,-0.423728813559322,11.14406779661017,0.46610169491525427,10.677966101694915,0.38135593220338987,13.262711864406779
codenet,runtime,-7.966101694915253,12.838983050847459,0.1271186440677966,16.94915254237288,0.3389830508474576,20.55084745762712,-0.2542372881355932,13.050847457627118,-4.025423728813559,11.059322033898306
codenet,success,12.11864406779661,73.4322033898305,5.169491525423728,32.3728813559322,5.974576271186441,38.559322033898304,3.4322033898305087,14.194915254237289,11.864406779661017,39.57627118644068
